 1610  1  0   -99.0   -99.0
 1610  2  1      .0      .0
 1610  3  0   -99.0   -99.0
 1610  4  0   -99.0   -99.0
 1610  5  0   -99.0   -99.0
 1610  6  0   -99.0   -99.0
 1610  7  0   -99.0   -99.0
 1610  8  0   -99.0   -99.0
 1610  9  0   -99.0   -99.0
 1610 10  0   -99.0   -99.0
 1610 11  0   -99.0   -99.0
 1610 12  1    72.0      .0
 1611  1  1      .0      .0
 1611  2  1      .0      .0
 1611  3  0   -99.0   -99.0
 1611  4  0   -99.0   -99.0
 1611  5  0   -99.0   -99.0
 1611  6  0   -99.0   -99.0
 1611  7  0   -99.0   -99.0
 1611  8  0   -99.0   -99.0
 1611  9  0   -99.0   -99.0
 1611 10 11    57.3    11.3
 1611 11 22    60.7    14.3
 1611 12 25    52.8    19.6
 1612  1 31    79.0    24.2
 1612  2 29    92.5    45.6
